InterventionID,Intervention_Name,Protocol,Protocol_Version,Outcome_Domain,NumStudiesMeetingStandards,NumStudiesEligible,Class_type_General,Class_type_Inclusion,Delivery_Method_Individual,Delivery_Method_School,Delivery_Method_Small_Group,Delivery_Method_Whole_Class,Demographics_of_Study_Sample_English_language_learners,Demographics_of_Study_Sample_Free_or_reduced_price_lunch,Demographics_of_Study_Sample_International,Demographics_of_Study_Sample_Students_with_disabilities,Ethnicity_Hispanic,Ethnicity_Not_Hispanic,Gender_Female,Gender_Male,Grade_1,Grade_10,Grade_11,Grade_12,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_K,Grade_PK,Grade_PS,Program_Type_Curriculum,Program_Type_Policy,Program_Type_Practice,Program_Type_School_level,Program_Type_Supplement,Program_Type_Teacher_level,Race_Asian,Race_Black,Race_Native_American,Race_Other,Race_Pacific_Islander,Race_White,Region_State_Alabama,Region_State_Alaska,Region_State_Arizona,Region_State_Arkansas,Region_State_California,Region_State_Colorado,Region_State_Connecticut,Region_State_Delaware,Region_State_District_of_Columbia,Region_State_Florida,Region_State_Georgia,Region_State_Hawaii,Region_State_Idaho,Region_State_Illinois,Region_State_Indiana,Region_State_Iowa,Region_State_Kansas,Region_State_Kentucky,Region_State_Louisiana,Region_State_Maine,Region_State_Maryland,Region_State_Massachusetts,Region_State_Michigan,Region_State_Midwest,Region_State_Minnesota,Region_State_Mississippi,Region_State_Missouri,Region_State_Montana,Region_State_Nebraska,Region_State_Nevada,Region_State_New_Hampshire,Region_State_New_Jersey,Region_State_New_Mexico,Region_State_New_York,Region_State_North_Carolina,Region_State_North_Dakota,Region_State_Northeast,Region_State_Ohio,Region_State_Oklahoma,Region_State_Oregon,Region_State_Pennsylvania,Region_State_Rhode_Island,Region_State_South,Region_State_South_Carolina,Region_State_South_Dakota,Region_State_Tennessee,Region_State_Texas,Region_State_Utah,Region_State_Vermont,Region_State_Virginia,Region_State_Washington,Region_State_West,Region_State_West_Virginia,Region_State_Wisconsin,Region_State_Wyoming,School_type_Charter,School_type_Parochial,School_type_Private,School_type_Public,Urbanicity_Rural,Urbanicity_Suburban,Urbanicity_Urban,Intervention_Page_URL,Sample_Size_Intervention,Effectiveness_Rating
375,Stepping Stones to Literacy,Beginning Reading,1.0,Alphabetics,2,2,,,1.00,,,,6.00,47.27,,,9.27,90.72,18.09,81.90,,,,,,,,,,,,,1.00,,,,,,,,,2.36,19.09,,,,69.90,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/intervention/375,99,Positive Effects
383,Corrective Reading,Beginning Reading,1.0,Alphabetics,1,1,,,,,1.00,,,45.00,,,,,48.00,52.00,,,,,,1.00,,,,,,,,,,,,,,,,,22.50,,,,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,/intervention/383,79,No Discernible Effects
383,Corrective Reading,Beginning Reading,1.0,Reading fluency,1,1,,,,,1.00,,,45.00,,,,,48.00,52.00,,,,,,1.00,,,,,,,,,,,,,,,,,22.50,,,,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,/intervention/383,79,Potentially Positive Effects
383,Corrective Reading,Beginning Reading,1.0,Comprehension,1,1,,,,,1.00,,,45.00,,,,,48.00,52.00,,,,,,1.00,,,,,,,,,,,,,,,,,22.50,,,,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,/intervention/383,79,No Discernible Effects
440,Sound Partners,Beginning Reading,1.0,Alphabetics,7,7,,,1.00,,,,25.97,50.40,,,14.42,85.57,42.89,57.10,1.00,,,,,,,,,,,,1.00,,,,,,,,,11.74,17.13,,,,48.43,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,1.00,,,1.00,/intervention/440,442,Positive Effects
440,Sound Partners,Beginning Reading,1.0,Reading fluency,7,7,,,1.00,,,,25.97,50.40,,,14.42,85.57,42.89,57.10,1.00,,,,,,,,,,,,1.00,,,,,,,,,11.74,17.13,,,,48.43,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,1.00,,,1.00,/intervention/440,442,Positive Effects
440,Sound Partners,Beginning Reading,1.0,Comprehension,4,4,,,1.00,,,,25.97,50.40,,,14.42,85.57,42.89,57.10,1.00,,,,,,,,,,,,1.00,,,,,,,,,11.74,17.13,,,,48.43,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,1.00,,,1.00,/intervention/440,309,Potentially Positive Effects
440,Sound Partners,Beginning Reading,1.0,Reading achievement,1,1,,,1.00,,,,25.97,50.40,,,14.42,85.57,42.89,57.10,1.00,,,,,,,,,,,,1.00,,,,,,,,,11.74,17.13,,,,48.43,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,1.00,,,1.00,/intervention/440,47,No Discernible Effects
541,ClassWide Peer Tutoring,Beginning Reading,1.0,Reading achievement,1,1,,,,,1.00,,,,,,,,,,1.00,,,,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,/intervention/541,218,Potentially Positive Effects
552,Earobics®,Beginning Reading,1.0,Alphabetics,4,4,,,1.00,,,,58.34,58.00,,,37.00,63.00,44.80,55.19,1.00,,,,1.00,1.00,,,,,,,1.00,,,,,,,,,9.00,7.14,17.00,,,40.68,,1.00,,,1.00,,,,,1.00,,,,1.00,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,1.00,,,,,,,1.00,,1.00,1.00,/intervention/552,165,Positive Effects
552,Earobics®,Beginning Reading,1.0,Reading fluency,2,2,,,1.00,,,,58.34,58.00,,,37.00,63.00,44.80,55.19,1.00,,,,1.00,1.00,,,,,,,1.00,,,,,,,,,9.00,7.14,17.00,,,40.68,,1.00,,,1.00,,,,,1.00,,,,1.00,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,1.00,,,,,,,1.00,,1.00,1.00,/intervention/552,99,Potentially Positive Effects
570,SpellRead,Beginning Reading,1.0,Alphabetics,2,2,,,,,1.00,,,48.00,1.00,,,,45.01,54.98,,,,,,,,1.00,1.00,,,,,,,,,,,,,,18.53,,,,81.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,1.00,,,,/intervention/570,139,Positive Effects
570,SpellRead,Beginning Reading,1.0,Reading fluency,2,2,,,,,1.00,,,48.00,1.00,,,,45.01,54.98,,,,,,,,1.00,1.00,,,,,,,,,,,,,,18.53,,,,81.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,1.00,,,,/intervention/570,112,Potentially Positive Effects
570,SpellRead,Beginning Reading,1.0,Comprehension,2,2,,,,,1.00,,,48.00,1.00,,,,45.01,54.98,,,,,,,,1.00,1.00,,,,,,,,,,,,,,18.53,,,,81.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,1.00,,,,/intervention/570,139,Potentially Positive Effects
616,Waterford Early Reading Program,Beginning Reading,1.0,Alphabetics,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,1.00,,1.00,/intervention/616,76,Potentially Positive Effects
616,Waterford Early Reading Program,Beginning Reading,1.0,Comprehension,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,1.00,,1.00,/intervention/616,76,No Discernible Effects
665,Lindamood Phoneme Sequencing® (LiPS®),Beginning Reading,1.0,Alphabetics,2,2,,,,,1.00,,,35.00,,,,,65.00,51.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,1.00,,,,/intervention/665,97,Mixed Effects
665,Lindamood Phoneme Sequencing® (LiPS®),Beginning Reading,1.0,Comprehension,1,1,,,,,1.00,,,35.00,,,,,65.00,51.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,1.00,,,,/intervention/665,74,Potentially Positive Effects
738,Wilson Reading System®,Beginning Reading,1.0,Alphabetics,1,1,,,,,1.00,,,43.00,,,,,66.00,34.00,,,,,,1.00,,,,,,,,,,,,,,,,,42.00,,,,58.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,/intervention/738,71,Potentially Positive Effects
738,Wilson Reading System®,Beginning Reading,1.0,Reading fluency,1,1,,,,,1.00,,,43.00,,,,,66.00,34.00,,,,,,1.00,,,,,,,,,,,,,,,,,42.00,,,,58.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,/intervention/738,71,No Discernible Effects
738,Wilson Reading System®,Beginning Reading,1.0,Comprehension,1,1,,,,,1.00,,,43.00,,,,,66.00,34.00,,,,,,1.00,,,,,,,,,,,,,,,,,42.00,,,,58.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,/intervention/738,71,No Discernible Effects
7,Peer-Assisted Learning Strategies,Beginning Reading,2.0,Comprehension,2,2,,,,,1.00,,24.07,62.00,,,40.00,60.00,49.77,50.22,1.00,,,,,,,,,,,,1.00,,,,,,,,,5.00,26.03,,,,28.42,,,,,,,,,,1.00,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,1.00,,,1.00,1.00,,,,,,,,,,,,1.00,,,1.00,/intervention/7,171,Mixed Effects
7,Peer-Assisted Learning Strategies,Beginning Reading,2.0,Alphabetics,2,2,,,,,1.00,,24.07,62.00,,,40.00,60.00,49.77,50.22,1.00,,,,,,,,,,,,1.00,,,,,,,,,5.00,26.03,,,,28.42,,,,,,,,,,1.00,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,1.00,,,1.00,1.00,,,,,,,,,,,,1.00,,,1.00,/intervention/7,1677,Potentially Positive Effects
7,Peer-Assisted Learning Strategies,Beginning Reading,2.0,Reading fluency,1,1,,,,,1.00,,24.07,62.00,,,40.00,60.00,49.77,50.22,1.00,,,,,,,,,,,,1.00,,,,,,,,,5.00,26.03,,,,28.42,,,,,,,,,,1.00,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,1.00,,,1.00,1.00,,,,,,,,,,,,1.00,,,1.00,/intervention/7,41,No Discernible Effects
1,Cooperative Integrated Reading and Composition® (CIRC®),Beginning Reading,2.1,Comprehension,2,2,,,,,1.00,1.00,,,,,11.00,89.00,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,69.00,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,1.00,1.00,,,1.00,,,,,,,,,,,,,,,,,,,1.00,,,/intervention/1,712,Potentially Positive Effects
1,Cooperative Integrated Reading and Composition® (CIRC®),Beginning Reading,2.1,Reading achievement,1,1,,,,,1.00,1.00,,,,,11.00,89.00,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,69.00,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,1.00,1.00,,,1.00,,,,,,,,,,,,,,,,,,,1.00,,,/intervention/1,320,No Discernible Effects
209,Reading Recovery®,Beginning Reading,2.1,Alphabetics,2,2,,,1.00,,,,,65.00,,,12.00,88.00,43.90,56.09,1.00,,,,,,,,,,,,,,,,,,,,,1.07,30.18,,,,53.74,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,/intervention/209,148,Positive Effects
209,Reading Recovery®,Beginning Reading,2.1,Comprehension,2,2,,,1.00,,,,,65.00,,,12.00,88.00,43.90,56.09,1.00,,,,,,,,,,,,,,,,,,,,,1.07,30.18,,,,53.74,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,/intervention/209,145,Potentially Positive Effects
209,Reading Recovery®,Beginning Reading,2.1,Reading achievement,3,3,,,1.00,,,,,65.00,,,12.00,88.00,43.90,56.09,1.00,,,,,,,,,,,,,,,,,,,,,1.07,30.18,,,,53.74,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,/intervention/209,227,Positive Effects
209,Reading Recovery®,Beginning Reading,2.1,Reading fluency,1,1,,,1.00,,,,,65.00,,,12.00,88.00,43.90,56.09,1.00,,,,,,,,,,,,,,,,,,,,,1.07,30.18,,,,53.74,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,/intervention/209,74,Potentially Positive Effects
232,Open Court Reading©,Beginning Reading,2.1,Comprehension,1,1,,,,,,1.00,22.91,67.00,,,,,,,1.00,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,1.00,1.00,,1.00,,1.00,,,,,,,,,1.00,,,,,,,,,,,1.00,,,,,,,,1.00,,,,1.00,,,,,1.00,,,,,,,1.00,1.00,1.00,1.00,/intervention/232,679,Potentially Positive Effects
232,Open Court Reading©,Beginning Reading,2.1,Reading achievement,1,1,,,,,,1.00,22.91,67.00,,,,,,,1.00,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,1.00,1.00,,1.00,,1.00,,,,,,,,,1.00,,,,,,,,,,,1.00,,,,,,,,1.00,,,,1.00,,,,,1.00,,,,,,,1.00,1.00,1.00,1.00,/intervention/232,434,Potentially Positive Effects
325,Read Naturally®,Beginning Reading,2.1,Reading fluency,4,4,,,1.00,,,,20.03,38.40,,,21.96,78.03,46.94,53.05,,,,,1.00,1.00,1.00,,,,,,,,,,,,,,,7.19,26.89,14.00,,,43.64,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,1.00,,1.00,1.00,/intervention/325,440,Mixed Effects
325,Read Naturally®,Beginning Reading,2.1,Comprehension,4,4,,,1.00,,,,20.03,38.40,,,21.96,78.03,46.94,53.05,,,,,1.00,1.00,1.00,,,,,,,,,,,,,,,7.19,26.89,14.00,,,43.64,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,1.00,,1.00,1.00,/intervention/325,439,Potentially Negative Effects
325,Read Naturally®,Beginning Reading,2.1,Reading achievement,2,2,,,1.00,,,,20.03,38.40,,,21.96,78.03,46.94,53.05,,,,,1.00,1.00,1.00,,,,,,,,,,,,,,,7.19,26.89,14.00,,,43.64,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,1.00,,1.00,1.00,/intervention/325,126,Potentially Positive Effects
325,Read Naturally®,Beginning Reading,2.1,Alphabetics,2,2,,,1.00,,,,20.03,38.40,,,21.96,78.03,46.94,53.05,,,,,1.00,1.00,1.00,,,,,,,,,,,,,,,7.19,26.89,14.00,,,43.64,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,1.00,,1.00,1.00,/intervention/325,264,No Discernible Effects
