Level,Individual Files Variable Names,Merged File Variable Names,Description,Type
Studies,Region_State_South_Carolina,s_Region_State_South_Carolina,South Carolina,boolean
Studies,Region_State_South_Dakota,s_Region_State_South_Dakota,South Dakota,boolean
Studies,Region_State_Tennessee,s_Region_State_Tennessee,Tennessee,boolean
Studies,Region_State_Texas,s_Region_State_Texas,Texas,boolean
Studies,Region_State_Utah,s_Region_State_Utah,Utah,boolean
Studies,Region_State_Vermont,s_Region_State_Vermont,Vermont,boolean
Studies,Region_State_Virginia,s_Region_State_Virginia,Virginia,boolean
Studies,Region_State_Washington,s_Region_State_Washington,Washington,boolean
Studies,Region_State_West,s_Region_State_West,West,boolean
Studies,Region_State_West_Virginia,s_Region_State_West_Virginia,West Virginia,boolean
Studies,Region_State_Wisconsin,s_Region_State_Wisconsin,Wisconsin,boolean
Studies,Region_State_Wyoming,s_Region_State_Wyoming,Wyoming,boolean
Studies,School_type_Charter,s_School_type_Charter,Charter school,boolean
Studies,School_type_Parochial,s_School_type_Parochial,Parochial school,boolean
Studies,School_type_Private,s_School_type_Private,Private school,boolean
Studies,School_type_Public,s_School_type_Public,Public school,boolean
Studies,Urbanicity_Rural,s_Urbanicity_Rural,Rural setting,boolean
Studies,Urbanicity_Suburban,s_Urbanicity_Suburban,Suburban setting,boolean
Studies,Urbanicity_Urban,s_Urbanicity_Urban,Urban setting,boolean
Studies,StudyID,s_StudyID,WWC study review identifier,int
Studies,Publication,s_Publication,Publication in which study was published,Text
Studies,Publication_Date,s_Publication_Date,Year study published,Text
Studies,ProductID,s_ProductID,WWC product identifier,int
Studies,Product_Name,s_Product_Name,WWC product name,text
Studies,Purpose_of_Review,s_Purpose_of_Review,Purpose of review by WWC,text
Studies,Study_Page_URL,s_Study_Page_URL,WWC study page URL,text
Studies,Rating_Reason,s_Rating_Reason,Reason study received this rating,text
Studies,Ineligibility_Reason,s_Ineligibility_Reason,Reason study is ineligible for this review,text
Studies,interventionID,s_interventionID,WWC intervention identifier,int
Studies,ERICId,s_ERICId,ERIC identifier,text
Studies,US_Region_U_S__Region,s_US_Region_U_S__Region,US Region,text
Studies,Disability_Autism_spectrum_disorder,s_Disability_ASD,Study sample autism spectrum disorder,percent
Studies,School_setting_Student_Count,s_School_Setting_Student_Count,School setting student count,int
Studies,Disability_Individualized_Education_Plan__IEP_,s_Disability_IEP,Study sample individualized education plan,percent
Studies,Demographics_of_Study_Sample_Minority,s_Demographics_Sample_Minority,Study sample racial minority,percent
Studies,Demographics_of_Study_Sample_Non_minority,s_Demographics_Sample_Nonminority,Study sample racial nonminority,percent
Studies,Multisite,s_Multisite,Study was conducted in more than one school,text
Studies,Topic_Literacy,s_Topic_Literacy,Literacy topic,boolean
Studies,Topic_Mathematics,s_Topic_Mathematics,Mathematics topic,boolean
Studies,Topic_Science,s_Topic_Science,Science topic,boolean
Studies,Topic_Behavior,s_Topic_Behavior,Behavior topic,boolean
Studies,Topic_SWD,s_Topic_SWD,Children and youth with disabilities topic,boolean
Studies,Topic_ELL,s_Topic_ELL,English langauge learners topic,boolean
Studies,Topic_Teacher_Excellence,s_Topic_Teacher_Excellence,Teacher excellence topic,boolean
Studies,Topic_Charter_Schools,s_Topic_Charter_Schools,Charter schools topic,boolean
Studies,Topic_Early_Childhood,s_Topic_Early_Childhood,Early childhood topic,boolean
Studies,Topic_K_to_12th_Grade,s_Topic_K_to_12th_Grade,K to 12th grade topic,boolean
Studies,Topic_Path_to_Graduation,s_Topic_Path_to_Graduation,Path to graduation topic,boolean
Studies,Topic_Postsecondary,s_Topic_Postsecondary,Postsecondary topic,boolean
Studies,Posting_Date,s_Posting_Date,Date study review was posted,date
